Block Size,Matrix Size,MFLOP
192,192,72418.4
192,229,63226.4
192,255,64405.6
192,256,64866.6
192,257,63873.2
192,319,68698.6
192,320,69613.5
192,321,65060.2
192,417,63147.5
192,479,66217.7
192,480,69080.9
192,511,67046.7
192,512,66186.3
192,639,67492.4
192,640,67098.2
192,767,72980.8
192,768,67660.0
192,769,65119.6
192,1023,65580.8
192,1024,67265.3
192,1025,67041.2
192,1525,65850.6
192,1526,71261.8
192,1527,66909.8
200,31,7540.44
200,32,8248.26
200,96,54223.0
200,97,46890.8
200,127,65629.0
200,128,66747.8
200,129,60411.7
200,191,75642.9
200,192,76606.4
200,229,60394.1
200,255,61220.5
200,256,65026.5
200,257,60297.5
200,319,66139.0
200,320,67034.2
200,321,66070.6
200,417,60177.7
200,479,66275.3
200,480,66366.2
200,511,68901.8
200,512,68335.4
200,639,66786.6
200,640,68778.8
200,767,73832.6
200,768,71673.2
200,769,69885.0
200,1023,66731.1
200,1024,66534.2
200,1025,63748.3
200,1525,70656.8
200,1526,71705.9
200,1527,73443.6
208,31,7165.46
208,32,7978.75
208,96,56001.4
208,97,48410.1
208,127,68124.6
208,128,68480.7
208,129,63167.0
208,191,76772.3
208,192,77015.1
208,229,59352.1
208,255,64220.2
208,256,63223.2
208,257,61189.5
208,319,67355.4
208,320,68222.1
208,321,65589.8
208,417,61359.1
208,479,68023.7
208,480,65949.1
208,511,66707.6
208,512,67653.7
208,639,66200.1
208,640,66099.7
208,767,69420.9
208,768,71215.8
208,769,69698.6
208,1023,71570.2
208,1024,70607.4
208,1025,69203.1
208,1525,69719.4
208,1526,69339.5
208,1527,66138.5
216,31,6314.28
216,32,7151.54
216,96,51762.5
216,97,49368.6
216,127,64242.4
216,128,61276.7
216,129,59356.4
216,191,71594.8
216,192,69579.0
216,229,56311.4
216,255,57215.2
216,256,57041.9
216,257,57300.3
216,319,63609.0
216,320,65334.3
216,321,62191.3
216,417,64812.6
216,479,61170.2
216,480,61523.5
216,511,62180.4
216,512,65800.0
216,639,71700.5
216,640,70933.6
216,767,70448.2
216,768,70524.3
216,769,68886.7
216,1023,66217.9
216,1024,69576.7
216,1025,70411.6
216,1525,68602.8
216,1526,63425.8
216,1527,69082.9
224,31,6753.28
224,32,7343.08
224,96,55473.6
224,97,47401.5
224,127,64667.6
224,128,64896.7
224,129,61516.2
224,191,71379.5
224,192,72767.1
224,229,55128.8
224,255,59319.5
224,256,58785.6
224,257,56922.2
224,319,62663.4
224,320,64110.6
224,321,61954.6
224,417,67591.7
224,479,61877.9
224,480,63390.5
224,511,62559.8
224,512,63703.9
224,639,68104.4
224,640,66919.2
224,767,66589.3
224,768,66847.4
224,769,65286.8
224,1023,66093.2
224,1024,67414.7
224,1025,65271.7
224,1525,68607.0
224,1526,67229.4
